nom,age,profession,revenu,genre,achat
Personne_1,37,Étudiant,1328500.64,Homme,Non
Personne_2,57,Commerçant,783739.85,Autre,Non
Personne_3,29,Étudiant,1722806.38,Homme,Non
Personne_4,33,Étudiant,256869.97,Femme,Oui
Personne_5,20,Commerçant,804827.85,Autre,Oui
Personne_6,62,Avocat,1932288.34,Homme,Oui
Personne_7,45,Médecin,524595.15,Homme,Non
Personne_8,46,Artiste,1104721.55,Autre,Oui
Personne_9,56,Artiste,142232.36,Homme,Oui
Personne_10,42,Médecin,2221747.48,Homme,Non
Personne_11,23,Médecin,2653723.64,Autre,Non
Personne_12,29,Médecin,1765241.57,Autre,Oui
Personne_13,26,Développeur,2865804.23,Homme,Non
Personne_14,44,Ingénieur,203060.92,Autre,Oui
Personne_15,64,Médecin,353818.37,Homme,Non
Personne_16,45,Commerçant,790198.94,Femme,Non
Personne_17,52,Enseignant,2344345.99,Femme,Oui
Personne_18,30,Enseignant,2783798.7,Femme,Non
Personne_19,31,Médecin,473962.91,Femme,Oui
Personne_20,45,Avocat,2490138.74,Autre,Non
Personne_21,18,Artiste,1043665.34,Autre,Oui
Personne_22,51,Ingénieur,427193.28,Femme,Non
Personne_23,28,Enseignant,2505890.88,Femme,Non
Personne_24,62,Ingénieur,916499.05,Homme,Oui
Personne_25,26,Médecin,970609.26,Homme,Oui
Personne_26,28,Artiste,2767979.19,Autre,Non
Personne_27,41,Artiste,733820.16,Homme,Oui
Personne_28,41,Avocat,286838.71,Homme,Oui
Personne_29,38,Développeur,2482109.13,Femme,Oui
Personne_30,25,Étudiant,1081975.29,Homme,Non
Personne_31,24,Enseignant,560172.01,Homme,Non
Personne_32,52,Commerçant,1624111.91,Autre,Oui
Personne_33,41,Développeur,170442.94,Autre,Oui
Personne_34,19,Ingénieur,2985930.66,Homme,Non
Personne_35,35,Artiste,993480.85,Femme,Oui
Personne_36,59,Ingénieur,2245314.52,Homme,Non
Personne_37,31,Étudiant,746078.33,Femme,Oui
Personne_38,62,Médecin,2951042.93,Femme,Oui
Personne_39,37,Artiste,2952612.1,Homme,Non
Personne_40,31,Médecin,2179486.68,Autre,Oui
Personne_41,35,Étudiant,124486.96,Femme,Oui
Personne_42,21,Enseignant,2947315.27,Femme,Non
Personne_43,30,Étudiant,1577788.72,Homme,Non
Personne_44,45,Enseignant,366036.63,Homme,Oui
Personne_45,52,Médecin,979284.92,Homme,Non
Personne_46,25,Développeur,1253932.12,Homme,Non
Personne_47,64,Commerçant,2930004.06,Homme,Non
Personne_48,37,Commerçant,2773950.97,Femme,Non
Personne_49,33,Artiste,1064283.02,Femme,Non
Personne_50,53,Enseignant,1119134.53,Femme,Non
Personne_51,22,Ingénieur,2518512.96,Autre,Non
Personne_52,53,Ingénieur,2308964.14,Homme,Oui
Personne_53,28,Commerçant,1615522.43,Homme,Non
Personne_54,20,Artiste,482612.51,Autre,Non
Personne_55,60,Médecin,2725465.22,Femme,Non
Personne_56,51,Ingénieur,2067687.82,Femme,Non
Personne_57,53,Médecin,1853963.91,Homme,Oui
Personne_58,42,Artiste,273480.65,Homme,Non
Personne_59,39,Ingénieur,579887.5,Autre,Non
Personne_60,39,Développeur,2185956.8,Femme,Oui
Personne_61,24,Médecin,2809028.61,Autre,Non
Personne_62,61,Développeur,1232029.45,Autre,Non
Personne_63,18,Étudiant,1440079.55,Autre,Non
Personne_64,36,Avocat,416591.05,Homme,Non
Personne_65,26,Artiste,2092970.33,Autre,Non
Personne_66,33,Enseignant,1182662.55,Homme,Oui
Personne_67,42,Étudiant,2750254.92,Autre,Oui
Personne_68,23,Commerçant,998044.58,Homme,Oui
Personne_69,35,Avocat,1124658.18,Femme,Non
Personne_70,53,Commerçant,2626382.79,Femme,Oui
