gender,age,height_cm,weight_kg,duration_min,calories_burned,satisfaction,membership_type
Male,28,181.7,51.2,53.1,462.0,2,Basic
Female,37,172.5,91.7,56.4,358.0,4,Premium
Male,37,173.4,68.8,36.4,401.0,2,Premium
Male,27,165.9,86.8,6.1,78.0,1,Basic
Male,53,165.1,75.1,36.8,358.0,5,Basic
Female,39,165.7,76.9,50.9,606.0,4,Elite
Male,23,173.9,78.5,,302.0,2,Basic
Male,41,165.8,76.7,47.8,604.0,3,Elite
Male,25,172.9,79.6,44.8,595.0,4,Elite
Female,42,190.8,89.9,53.7,617.0,1,Elite
Male,46,178.7,72.9,46.8,475.0,1,Premium
Male,26,166.7,80.6,30.4,207.0,3,Premium
Male,44,182.0,68.7,62.9,598.0,2,Basic
Male,39,165.9,91.6,42.6,354.0,4,Elite
Female,43,149.6,59.9,44.6,640.0,2,Premium
Male,53,159.9,97.0,31.0,299.0,1,Premium
Female,32,151.3,69.4,38.4,393.0,2,Premium
Female,27,166.5,48.5,31.7,352.0,1,Premium
Female,26,170.2,71.9,42.4,428.0,2,Premium
Male,26,186.8,59.8,70.7,947.0,3,Elite
Female,34,173.3,82.6,24.4,214.0,5,Elite
Male,38,167.8,60.2,20.8,216.0,3,Elite
Female,37,178.3,63.3,,571.0,3,Elite
Female,43,147.9,41.7,41.9,308.0,5,Basic
Female,35,172.4,63.2,35.0,307.0,5,Elite
Female,49,177.7,33.6,60.6,602.0,4,Premium
Female,32,155.2,46.2,35.9,328.0,4,Elite
Female,62,181.4,81.4,72.4,624.0,3,Basic
Female,41,173.4,81.8,55.2,397.0,3,Premium
Female,26,165.8,76.4,37.7,371.0,1,Elite
Male,24,176.3,55.5,77.4,541.0,1,Elite
Male,39,192.7,69.3,,414.0,4,Elite
Female,32,171.8,69.9,56.1,570.0,4,Premium
Female,42,172.5,52.6,49.5,351.0,1,Premium
Female,39,165.4,92.6,64.5,605.0,1,Basic
Male,34,161.5,83.2,68.4,581.0,2,Premium
Female,26,178.3,66.7,45.5,484.0,2,Premium
Male,19,161.4,,33.7,427.0,1,Elite
Male,30,170.7,73.1,51.9,324.0,2,Premium
Male,43,,39.4,34.8,356.0,5,Elite
Male,37,174.8,166.3,75.2,3640.0,4,Elite
Male,22,,59.8,47.0,533.0,4,Premium
Female,36,,55.0,39.5,412.0,1,Basic
Female,38,164.9,65.8,47.8,406.0,3,Basic
Female,26,167.3,97.0,24.8,232.0,1,Premium
Female,36,160.2,79.6,30.4,256.0,2,Basic
Female,35,165.6,61.4,63.0,766.0,3,Elite
Male,23,173.8,78.6,35.1,352.0,2,Elite
Female,38,177.6,91.0,,404.0,5,Premium
Female,40,160.8,183.9,53.0,524.0,2,Basic
Male,45,178.7,70.9,62.8,539.0,5,Basic
Female,45,183.6,60.3,55.8,389.0,5,Elite
Male,21,174.1,80.5,59.9,383.0,2,Premium
Female,25,188.8,75.9,33.6,230.0,2,Basic
Male,40,162.3,83.4,23.7,250.0,5,Premium
Female,40,157.6,79.5,67.5,744.0,3,Basic
Female,40,152.2,85.7,40.2,275.0,5,Elite
Male,73,,62.0,41.2,486.0,4,Elite
Male,40,176.5,89.8,64.9,586.0,5,Premium
Male,46,169.4,,53.3,549.0,3,Elite
Male,44,172.8,101.1,51.8,685.0,4,Basic
Male,41,158.7,59.7,77.5,914.0,1,Elite
Male,31,,,35.3,334.0,1,Premium
Male,42,171.3,73.0,58.9,484.0,3,Premium
Male,27,171.1,60.2,45.9,261.0,5,Premium
Female,32,177.3,62.7,49.0,420.0,2,Basic
Female,30,174.8,65.2,67.9,650.0,3,Basic
Male,35,172.2,76.4,52.6,422.0,4,Basic
Female,58,162.1,77.8,53.1,517.0,4,Basic
Female,16,174.7,,61.1,620.0,1,Basic
Female,41,188.8,69.6,39.5,377.0,4,Elite
Female,18,183.5,102.1,32.4,282.0,3,Basic
Male,30,185.9,95.9,29.3,303.0,4,Basic
Female,45,164.9,176.5,15.5,169.0,3,Elite
Male,35,160.1,70.6,75.8,593.0,2,Basic
Female,24,168.7,,28.5,365.0,1,Premium
Female,27,170.6,79.2,,409.0,4,Basic
Female,41,180.9,54.7,40.8,410.0,3,Basic
Male,27,153.1,66.1,49.6,566.0,5,Premium
Female,37,185.3,45.0,57.2,599.0,1,Premium
Male,35,168.4,76.0,57.9,689.0,2,Premium
Female,28,165.7,79.7,,384.0,3,Premium
Male,56,159.9,62.8,42.5,373.0,2,Basic
Female,41,153.5,93.6,49.2,528.0,2,Premium
Male,14,178.2,151.6,41.3,319.0,4,Premium
Male,36,170.7,48.0,69.1,706.0,4,Elite
Female,28,,73.4,52.4,521.0,3,Premium
Male,43,157.0,85.7,56.0,537.0,5,Premium
Female,27,166.6,95.3,54.9,535.0,3,Elite
